                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.3698,                0.75437,                0.17957,                0.88124,                  1.443,                0.97016,                0.97222,                0.98361,                0.63487,                0.99805,                      1,                  0.995,                0.81882,                 1.3663,                 0.3875,                0.02546,                0.68535,                   1.63,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.3787,                0.81934,                0.17545,                0.85067,                 1.4301,                0.99547,                      1,                  0.995,                 0.6194,                0.99547,                      1,                  0.995,                0.81693,                 1.3869,                0.38964,                0.02053,                 0.6961,                 1.6533,               0.001736,               0.001736,               0.001736
                     83,                 1.3817,                0.83396,                0.20795,                0.88659,                  1.456,                 0.9931,                      1,                  0.995,                0.62017,                 0.9931,                      1,                  0.995,                 0.8303,                 1.3284,                0.39996,                 0.0204,                0.70831,                 1.6147,              0.0017327,              0.0017327,              0.0017327
                     84,                  1.344,                0.87772,                0.19168,                0.89563,                  1.459,                0.99396,                      1,                  0.995,                 0.6223,                0.99396,                      1,                  0.995,                 0.8552,                 1.2588,                0.39387,                0.01641,                0.75015,                 1.5594,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.2903,                0.69842,                0.18875,                0.88395,                 1.3896,                 0.9349,                0.97222,                0.98782,                0.61855,                0.95892,                      1,                0.99203,                0.83476,                 1.2032,                 0.4143,                0.01456,                0.87832,                 1.5491,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.3966,                0.68456,                0.16712,                 0.9563,                 1.4741,                0.97131,                0.97222,                0.98786,                0.64304,                0.99271,                      1,                  0.995,                0.82719,                  1.185,                0.40451,                0.01941,                 0.9721,                 1.4991,              0.0017228,              0.0017228,              0.0017228
                     87,                 1.3284,                0.72885,                0.15039,                0.87169,                 1.4382,                 0.9931,                      1,                  0.995,                0.64081,                 0.9931,                      1,                  0.995,                0.80024,                 1.2686,                0.38643,                0.01891,                0.91171,                  1.574,              0.0017195,              0.0017195,              0.0017195
                     88,                 1.2995,                0.58827,                0.17149,                0.84222,                 1.4539,                0.93258,                0.94444,                0.97735,                0.57291,                 0.9882,                      1,                  0.995,                 0.8274,                 1.3055,                0.37755,                 0.0237,                0.85006,                 1.6305,              0.0017162,              0.0017162,              0.0017162
                     89,                 1.3843,                0.81129,                0.21238,                0.91994,                 1.4956,                0.91521,                0.94444,                0.97202,                0.59147,                0.94971,                      1,                0.98905,                0.81694,                 1.3266,                 0.3746,                0.02185,                0.87488,                  1.621,              0.0017129,              0.0017129,              0.0017129
                     90,                 1.3061,                0.74789,                0.16408,                0.86336,                  1.383,                0.74185,                 0.7984,                0.79609,                0.49608,                0.74185,                 0.7984,                0.79609,                0.62872,                 1.2097,                0.38721,                0.01767,                 1.0207,                 1.4992,              0.0017096,              0.0017096,              0.0017096
                     91,                 1.3112,                0.59978,                0.18143,                0.94131,                 1.4993,                0.91757,                0.97222,                0.93453,                0.54973,                0.94379,                      1,                0.96686,                 0.7878,                 1.2318,                0.40868,                0.01695,                0.86273,                 1.5304,              0.0017063,              0.0017063,              0.0017063
